año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2021,Andalucía,166296356.0,8488.2,9.28,7.72,22.28,10472.0,36.3,,,,,37.1,0.65,68.3,19591.0,13801.0,7760491.0,10.1,6.9,17.0,147690.0,127360.0,33.6,54.8,6.8,42.4,37.1,1731.5,8.57
2022,Andalucía,184051418.0,8547.7,9.78,7.37,21.85,10388.0,38.0,,,,,44.4,0.86,67.3,21532.0,14332.0,7758809.0,9.4,7.6,16.3,158620.0,137750.0,29.1,54.5,6.0,44.7,44.4,1843.83,9.06
2009,Aragón,33814117.0,1344.5,7.21,9.72,7.29,11963.0,,17.76,2.98,15.75,86.35,,,,25150.0,15833.0,1173335.0,7.3,4.1,3.4,185610.0,171930.0,10.4,36.7,4.4,15.4,,1766.33,7.34
2010,Aragón,34100336.0,1343.8,8.05,9.63,13.05,12904.0,,15.48,2.49,17.85,65.74,38.1,0.74,,25375.0,15704.0,1174009.0,5.4,1.9,5.5,177730.0,169030.0,13.1,41.8,4.2,19.8,38.1,1753.33,6.9
2011,Aragón,33631537.0,1344.5,6.75,9.38,14.96,12527.0,,,1.26,,,37.3,0.45,,25015.0,15934.0,1175100.0,7.8,2.7,5.5,172590.0,164220.0,17.1,36.2,5.3,22.1,37.3,1750.67,6.93
2012,Aragón,32169749.0,1340.0,6.16,8.94,17.07,12172.0,,,1.15,,,34.6,0.45,,24008.0,15111.0,1176356.0,7.7,1.4,4.1,174190.0,160650.0,17.7,54.5,5.3,26.4,34.6,1628.92,6.65
2013,Aragón,32323922.0,1334.0,7.04,8.74,18.67,12540.0,,,1.52,,,32.0,0.52,71.0,24232.0,15127.0,1173497.0,9.8,3.9,11.6,176180.0,161210.0,20.0,60.1,5.6,30.7,32.0,1468.08,6.13
2014,Aragón,32602458.0,1327.6,6.99,8.73,21.39,12617.0,,,,,,30.5,0.38,,24557.0,15032.0,1176154.0,9.1,1.8,11.1,176620.0,159040.0,23.2,53.9,6.0,28.9,30.5,1337.83,5.84
2015,Aragón,33265930.0,1320.9,8.35,8.59,20.17,12663.0,19.4,,,,,29.1,0.68,,25185.0,15511.0,1177664.0,6.4,1.2,8.1,183950.0,162670.0,20.3,47.3,5.4,27.9,29.1,1294.17,5.96
2016,Aragón,34542128.0,1316.2,9.45,8.3,16.29,12931.0,16.4,,,,,29.0,0.61,,26243.0,15998.0,1175750.0,5.0,1.5,8.2,171160.0,157510.0,22.5,43.3,5.1,26.8,29.0,1256.92,6.24
2017,Aragón,35983544.0,1315.3,7.96,8.0,14.74,12223.0,18.1,,,,,28.8,0.61,,27357.0,16492.0,1175513.0,4.1,1.9,3.7,177560.0,158390.0,16.1,31.7,4.6,18.5,28.8,1246.33,6.56
2018,Aragón,37213896.0,1315.9,7.1,7.58,11.65,12653.0,15.8,,,,,30.7,0.68,86.1,28281.0,16896.0,1172036.0,5.2,4.7,3.9,176720.0,158670.0,18.2,44.5,4.3,28.9,30.7,1280.17,7.02
2019,Aragón,38465053.0,1324.4,8.46,7.28,10.63,12425.0,17.6,,,,,32.2,0.45,,29043.0,17585.0,1169992.0,4.9,6.1,3.8,180670.0,172410.0,19.4,37.3,4.7,27.6,32.2,1305.67,7.42
2020,Aragón,35955571.0,1331.5,7.75,6.83,10.03,12853.0,20.2,,,,,27.1,0.3,,27003.0,17380.0,1167343.0,5.9,4.8,5.4,19150.0,180420.0,16.3,28.2,4.7,26.0,27.1,1320.17,7.73
2021,Aragón,38782157.0,1330.7,7.07,7.21,11.7,13716.0,18.6,,,,,31.4,0.38,74.8,29144.0,17925.0,1163912.0,6.7,6.1,12.4,193810.0,181210.0,16.2,34.8,4.9,26.9,31.4,1313.08,7.87
2022,Aragón,43655726.0,1334.8,8.11,6.73,10.33,14023.0,19.4,,,,,35.9,0.74,74.9,32707.0,19066.0,1161553.0,6.9,3.1,8.8,203470.0,193250.0,15.0,38.9,4.4,27.2,35.9,1324.0,8.11
2009,Asturias,22366414.0,1076.4,9.47,7.63,8.5,12412.0,,19.24,3.87,19.12,72.7,,,,20778.0,14854.0,1038170.0,4.8,1.7,5.3,185610.0,160830.0,12.9,50.0,5.1,21.6,,1760.42,8.21
2010,Asturias,22590616.0,1076.2,9.77,7.21,13.42,13103.0,,12.46,1.73,15.67,43.26,26.5,1.77,,20992.0,14811.0,1035055.0,3.8,1.2,3.3,183770.0,158410.0,11.4,44.1,4.7,19.6,26.5,1766.42,7.58
2011,Asturias,22261796.0,1075.1,12.15,7.24,15.92,12986.0,,,2.72,,,27.1,0.84,,20706.0,15045.0,1031088.0,5.3,1.8,2.6,17080.0,156930.0,17.4,38.0,4.9,17.8,27.1,1833.33,7.15
