,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
197,Junio 2009,2.611 €/m2,"- 0,5 %","- 1,3 %","- 4,6 %",Madrid
198,Mayo 2009,2.624 €/m2,"- 0,7 %","- 0,2 %","- 4,0 %",Madrid
199,Abril 2009,2.642 €/m2,"- 0,2 %","+ 0,7 %","- 4,3 %",Madrid
200,Marzo 2009,2.647 €/m2,"+ 0,7 %","+ 0,9 %","- 3,7 %",Madrid
201,Febrero 2009,2.628 €/m2,"+ 0,2 %","- 1,0 %","- 4,1 %",Madrid
202,Enero 2009,2.624 €/m2,"0,0 %","- 0,8 %","- 4,0 %",Madrid
203,Diciembre 2008,2.624 €/m2,"- 1,1 %","- 1,5 %","- 5,1 %",Madrid
204,Noviembre 2008,2.654 €/m2,"+ 0,4 %","- 0,6 %","- 5,4 %",Madrid
205,Octubre 2008,2.644 €/m2,"- 0,8 %","- 2,1 %","- 4,8 %",Madrid
206,Septiembre 2008,2.665 €/m2,"- 0,2 %","- 2,6 %","- 3,2 %",Madrid
207,Agosto 2008,2.670 €/m2,"- 1,1 %","- 2,3 %","- 3,3 %",Madrid
208,Julio 2008,2.700 €/m2,"- 1,3 %","- 2,1 %","- 3,3 %",Madrid
209,Junio 2008,2.736 €/m2,"+ 0,1 %","- 0,4 %","- 1,7 %",Madrid
210,Mayo 2008,2.733 €/m2,"- 1,0 %","- 0,2 %","- 0,8 %",Madrid
211,Abril 2008,2.760 €/m2,"+ 0,4 %","+ 0,9 %","- 0,3 %",Madrid
212,Marzo 2008,2.748 €/m2,"+ 0,3 %","- 0,6 %","- 1,0 %",Madrid
213,Febrero 2008,2.739 €/m2,"+ 0,2 %","- 2,3 %","+ 0,4 %",Madrid
214,Enero 2008,2.734 €/m2,"- 1,1 %","- 1,6 %","+ 0,1 %",Madrid
215,Diciembre 2007,2.764 €/m2,"- 1,4 %","+ 0,4 %","+ 2,3 %",Madrid
216,Noviembre 2007,2.805 €/m2,"+ 1,0 %","+ 1,6 %","+ 2,5 %",Madrid
217,Octubre 2007,2.778 €/m2,"+ 0,9 %","- 0,6 %","+ 5,8 %",Madrid
